ID,Nama,Jenis Kelamin,Usia,Nilai Matematika,Nilai IPA,Nilai IPS,Nilai Bahasa Indonesia,Nilai Bahasa Inggris,Nilai TIK,Minat Sains,Minat Bahasa,Minat Sosial,Minat Teknologi,Potensi
226,Eka Saputra,L,13,80,94,88,70,96,66,5,1,3,3,Sains
227,Budi Nur,P,15,73,61,95,98,65,88,1,4,4,2,Bahasa
228,Fajar Nur,P,13,71,100,75,96,77,68,5,4,2,4,Bahasa
229,Citra Rahma,L,14,85,80,65,66,79,60,4,1,3,5,Sains
230,Eka Utami,L,13,77,93,67,97,60,80,4,4,3,1,Sains
231,Andi Rahma,P,14,61,88,74,79,82,68,3,4,1,3,Bahasa
232,Indra Nur,L,13,85,90,85,75,73,94,2,5,3,1,Sains
233,Gita Rahma,P,12,67,91,91,73,74,94,1,4,4,1,Sains
234,Citra Kusuma,P,15,85,96,91,95,86,87,5,3,1,4,Sains
235,Budi Pratama,L,14,84,62,76,88,99,86,4,3,3,2,Bahasa
236,Joko Utami,L,14,94,68,97,73,91,99,1,2,1,2,Bahasa
237,Gita Pratama,L,15,80,82,76,81,68,67,2,2,1,5,Sains
238,Andi Saputra,L,14,82,83,99,68,89,74,3,4,3,5,Sains
239,Eka Wijaya,P,13,84,81,97,89,85,66,1,2,1,5,Bahasa
240,Joko Kusuma,P,13,98,62,81,67,100,61,3,3,4,3,Bahasa
241,Citra Saputra,P,12,70,80,79,100,66,79,1,4,4,1,Bahasa
242,Hana Wahyudi,P,13,62,77,64,89,97,73,2,5,1,3,Bahasa
243,Eka Santoso,P,14,60,79,95,100,82,63,1,3,5,4,Bahasa
244,Eka Utami,L,12,96,100,70,61,90,60,4,4,1,2,Sains
245,Dewi Santoso,P,13,80,76,74,61,63,71,5,5,4,4,Sains
246,Joko Utami,P,12,80,90,64,85,70,67,2,1,1,2,Sains
247,Fajar Utami,P,13,67,78,91,95,97,84,4,1,4,2,Bahasa
248,Joko Wijaya,P,12,100,64,78,96,95,62,1,1,5,4,Bahasa
249,Andi Utami,P,12,79,98,61,97,67,76,3,3,2,2,Sains
250,Gita Pratama,P,12,79,60,98,93,61,73,4,1,1,3,Bahasa
251,Gita Wahyudi,L,12,82,99,100,65,70,88,3,2,5,5,Sains
252,Citra Wahyudi,L,14,97,73,66,71,65,64,4,1,3,3,Sains
253,Fajar Rahma,P,14,94,91,79,86,100,76,3,1,2,1,Sains
254,Fajar Pratama,L,15,73,85,65,100,100,90,3,4,1,4,Bahasa
255,Eka Kusuma,P,14,84,86,83,87,81,85,3,3,3,1,Sains
256,Joko Wijaya,P,12,72,79,91,91,81,63,4,5,4,3,Bahasa
257,Indra Putri,P,12,98,78,97,82,91,80,1,3,3,1,Sains
258,Eka Rahma,P,14,89,87,61,100,74,78,2,3,1,5,Sains
259,Hana Wijaya,P,14,87,92,100,64,79,65,4,3,4,1,Sains
260,Eka Wahyudi,P,13,83,96,76,77,83,83,3,2,5,3,Sains
261,Gita Pratama,P,12,88,77,74,94,100,86,5,2,5,5,Bahasa
262,Andi Rahma,P,15,64,87,89,100,82,73,5,5,2,1,Bahasa
263,Hana Nur,P,14,77,88,98,62,66,74,4,2,3,4,Sains
264,Dewi Saputra,P,12,90,98,78,70,77,61,1,3,1,2,Sains
265,Eka Nur,P,15,96,68,74,70,75,66,5,1,3,3,Sains
266,Dewi Santoso,L,13,99,81,61,99,91,74,1,5,3,2,Bahasa
267,Fajar Rahma,L,12,75,90,82,80,99,72,5,2,5,2,Bahasa
268,Fajar Rahma,P,14,87,98,73,83,62,83,5,5,3,2,Sains
269,Eka Kusuma,P,13,89,67,89,71,63,90,2,3,3,3,Sains
270,Hana Putri,P,15,92,81,80,71,78,98,4,2,4,3,Sains
271,Citra Putri,P,13,92,90,77,76,95,68,3,4,2,2,Sains
272,Fajar Kusuma,P,13,62,64,98,70,62,77,2,2,2,5,Bahasa
273,Citra Wijaya,P,13,60,81,90,72,72,94,4,3,3,2,Bahasa
274,Hana Kusuma,P,14,81,61,90,76,99,72,4,1,3,3,Bahasa
275,Fajar Saputra,L,15,74,71,65,71,66,71,1,3,3,2,Sains
276,Citra Santoso,P,12,76,71,76,70,62,60,4,2,4,5,Sains
277,Budi Wahyudi,P,13,79,64,79,91,82,92,1,2,5,2,Bahasa
278,Dewi Wahyudi,P,12,76,84,96,65,92,64,4,2,5,3,Sains
279,Hana Rahma,P,15,63,100,78,73,89,76,4,4,5,2,Sains
280,Fajar Santoso,P,15,60,63,99,65,73,85,2,3,5,4,Bahasa
281,Hana Rahma,L,15,62,98,70,77,71,81,2,3,1,1,Sains
282,Gita Nur,P,13,93,100,67,66,87,81,1,5,5,3,Sains
283,Citra Santoso,L,13,72,85,96,87,85,95,3,1,1,4,Bahasa
284,Indra Santoso,L,13,66,91,80,78,88,86,3,4,1,2,Bahasa
285,Citra Putri,L,13,78,99,92,61,61,70,1,5,4,1,Sains
286,Citra Wijaya,P,15,83,60,96,61,66,88,1,1,5,3,Sains
287,Gita Putri,P,15,99,91,95,93,78,70,5,2,3,1,Sains
288,Fajar Wijaya,L,12,62,80,89,99,63,94,4,4,1,5,Bahasa
289,Dewi Santoso,L,14,66,91,64,83,77,75,1,5,1,1,Bahasa
290,Joko Pratama,P,13,82,83,93,90,74,74,5,5,4,4,Sains
291,Indra Saputra,P,12,86,72,99,96,84,95,3,5,2,5,Bahasa
292,Budi Kusuma,L,13,83,96,76,79,85,83,5,1,5,3,Sains
293,Dewi Rahma,P,13,66,95,77,83,89,82,5,5,5,4,Bahasa
294,Budi Pratama,P,12,95,76,75,78,63,74,2,3,4,2,Sains
295,Citra Pratama,P,12,94,61,87,78,64,83,5,5,4,4,Sains
296,Fajar Kusuma,P,13,76,91,89,83,81,82,2,2,1,1,Sains
297,Fajar Saputra,L,13,77,71,62,67,73,78,3,5,5,4,Sains
298,Budi Pratama,P,12,84,84,77,94,75,83,3,5,3,5,Bahasa
299,Fajar Putri,P,13,83,91,95,62,85,79,1,3,4,2,Sains
300,Indra Saputra,P,13,81,72,91,91,88,69,5,3,5,1,Bahasa
301,Dewi Nur,L,12,63,70,89,88,65,62,2,1,3,1,Bahasa
302,Dewi Utami,P,14,98,67,91,74,95,63,2,3,1,1,Bahasa
303,Andi Nur,L,15,67,93,91,61,81,88,2,5,4,5,Sains
304,Eka Nur,P,15,68,100,96,71,61,69,4,2,4,4,Sains
305,Andi Pratama,P,12,64,85,70,81,89,98,3,3,5,5,Bahasa
306,Gita Nur,L,15,94,92,80,91,95,70,2,1,5,5,Sains
307,Gita Putri,P,13,64,83,76,63,83,66,5,1,2,3,Sains
308,Gita Nur,P,12,76,81,97,80,62,65,1,1,2,3,Sains
309,Fajar Utami,L,12,90,71,66,82,64,62,2,1,4,2,Sains
310,Indra Pratama,P,12,99,93,67,67,76,89,5,1,2,2,Sains
311,Hana Rahma,P,15,71,86,100,67,100,70,2,1,3,5,Bahasa
312,Andi Santoso,P,15,68,89,78,89,96,98,1,2,1,1,Bahasa
313,Budi Rahma,P,14,85,90,95,73,75,95,1,3,4,3,Sains
314,Gita Wahyudi,P,14,96,90,88,82,74,93,3,5,1,5,Sains
315,Joko Wahyudi,P,15,73,92,67,75,73,61,4,4,1,5,Sains
316,Eka Pratama,L,12,100,65,73,66,75,78,5,2,1,2,Sains
317,Indra Wahyudi,P,13,100,95,72,85,62,79,1,3,2,3,Sains
318,Gita Wijaya,P,12,76,79,73,62,89,79,2,3,2,4,Sains
319,Budi Wahyudi,P,15,75,62,97,76,86,69,4,3,5,1,Bahasa
320,Indra Utami,L,13,100,86,85,65,71,96,5,4,2,3,Sains
321,Citra Wahyudi,P,12,85,81,87,76,79,64,4,2,1,2,Sains
322,Dewi Wahyudi,L,14,71,93,64,80,94,69,5,1,4,1,Bahasa
323,Fajar Putri,L,15,92,99,68,76,100,96,5,1,3,3,Sains
324,Fajar Wahyudi,P,13,72,87,66,93,63,97,5,5,5,4,Sains
325,Hana Rahma,L,15,99,64,99,65,96,83,3,4,3,4,Sains
326,Indra Kusuma,L,14,87,94,75,60,62,97,4,3,4,4,Sains
327,Budi Saputra,L,14,94,81,92,74,83,85,5,2,4,5,Sains
328,Fajar Wijaya,L,15,72,76,71,74,98,89,1,5,5,3,Bahasa
329,Joko Saputra,P,12,80,98,80,81,84,62,5,4,5,3,Sains
330,Indra Utami,L,15,61,72,74,97,64,67,4,3,3,5,Bahasa
331,Indra Pratama,P,12,89,97,87,65,77,82,2,3,1,5,Sains
332,Citra Kusuma,L,12,73,61,87,88,85,68,4,4,1,4,Bahasa
333,Joko Santoso,L,14,77,83,69,81,83,66,1,3,1,5,Bahasa
334,Eka Pratama,L,15,62,76,77,99,82,98,5,3,2,2,Bahasa
335,Gita Wijaya,P,13,95,87,69,95,83,67,5,4,3,4,Sains
336,Eka Rahma,L,15,82,86,98,60,80,74,3,5,1,3,Sains
337,Citra Saputra,P,13,91,90,96,69,90,74,2,3,4,1,Sains
338,Fajar Putri,L,15,69,64,100,95,82,100,4,3,1,1,Bahasa
339,Fajar Kusuma,P,14,89,90,75,67,91,68,4,2,4,2,Sains
340,Eka Putri,P,13,70,83,96,93,80,93,4,1,5,2,Bahasa
341,Dewi Utami,L,12,84,67,75,60,72,76,2,3,3,4,Sains
342,Indra Utami,L,15,85,95,96,88,61,100,3,5,4,2,Sains
343,Joko Saputra,P,14,69,88,80,76,76,95,3,1,1,1,Sains
344,Gita Wahyudi,L,14,68,83,96,72,97,96,2,3,5,5,Bahasa
345,Joko Saputra,L,15,74,98,98,66,95,84,4,1,4,4,Sains
346,Dewi Wijaya,P,14,91,68,98,62,82,71,3,3,2,1,Sains
347,Citra Utami,L,14,86,87,99,93,67,92,4,5,3,5,Sains
348,Dewi Rahma,L,13,98,64,90,78,82,100,2,4,5,5,Sains
349,Budi Pratama,L,13,91,71,65,97,90,85,1,1,5,2,Bahasa
350,Fajar Kusuma,P,13,92,75,97,97,89,73,1,1,1,2,Bahasa
