ID,Nama,Jenis Kelamin,Usia,Nilai Matematika,Nilai IPA,Nilai IPS,Nilai Bahasa Indonesia,Nilai Bahasa Inggris,Nilai TIK,Minat Sains,Minat Bahasa,Minat Sosial,Minat Teknologi,Potensi
36,Putra Adi,L,14,96.0,91.0,92.0,60.0,78.0,61.0,4.0,4.0,4.0,5.0,Teknologi
37,Anisa Putri,P,12,85.0,91.0,65.0,91.0,63.0,70.0,4.0,5.0,4.0,3.0,Teknologi
38,Nadia Sari,P,12,76.0,97.0,83.0,64.0,93.0,65.0,4.0,5.0,2.0,4.0,Teknologi
39,Galih Prabowo,L,14,81.0,70.0,75.0,92.0,68.0,65.0,2.0,3.0,1.0,3.0,Bahasa
40,Desi Anggraini,P,13,75.0,88.0,62.0,79.0,95.0,78.0,4.0,2.0,2.0,5.0,Sosial
41,Rizka Aulia,P,15,85.0,62.0,78.0,79.0,91.0,66.0,2.0,1.5,1.0,4.0,Teknologi
42,Lina Kurniawati,P,12,100.0,92.0,99.0,98.0,77.0,99.0,5.0,1.0,2.0,2.0,Sains
43,Ilham Firmansyah,L,15,60.0,70.0,87.0,86.5,82.0,90.0,1.0,2.0,1.0,5.0,Sains
44,Arief Kurniawan,L,13,89.0,94.0,66.0,75.0,85.0,61.0,5.0,1.0,5.0,5.0,Sains
45,Fitria Rahmawati,P,13,60.0,71.0,64.0,96.0,91.0,68.0,5.0,3.0,4.0,2.0,Sosial
46,Nurul Aini,P,13,100.0,94.0,78.0,75.0,62.0,79.0,3.0,5.0,1.0,5.0,Sosial
47,Putri Sari,P,12,83.0,92.0,83.0,70.0,67.0,95.0,4.0,5.0,1.0,4.0,Sains
48,Aditya Pramudito,L,13,97.0,99.0,79.0,94.0,84.0,94.0,5.0,4.5,2.0,2.0,Teknologi
49,Citra Ayu,P,12,84.0,88.0,77.0,77.0,61.0,94.0,5.0,4.0,1.0,5.0,Sosial
50,Reza Akbar,L,13,75.0,100.0,95.0,92.0,63.0,92.0,2.0,2.0,5.0,4.0,Sains
